srNo,ticker,company,sector,peRation,fwdPERatio,epsAndDivident,roa,roe,debtEq,marketCapBillions,weightedFactors,stockRank,Beta,riskProfileBeta
219,HBAN,Huntington Bancshares Incorporated,Financial,,0.202,0.384,0.099,0.218,0.571,0.359,0.17075,268,1.35,Moderate
220,HBI,Hanesbrands Inc.,Consumer Goods,,0.059,0.619,0.69,0.916,0.934,0.089,0.44970,111,0.75,Conservative
221,HCA,HCA Healthcare Inc.,Healthcare,,0.073,0.702,0,0,0,0.621,0.26460,223,0.52,Conservative
222,HCN,Welltower Inc.,Financial,,0.91,0.494,0.396,0.263,0.527,0.557,0.32225,181,0.24,Conservative
223,HCP,HCP Inc.,Financial,,0.914,0.924,0.404,0.343,0.736,0.277,0.35335,164,0.36,Conservative
224,HD,The Home Depot Inc.,Services,,0.599,0.466,0.96,0.988,0.976,0.954,0.67340,13,1.09,Moderate
225,HES,Hess Corporation,Basic Materials,,0,0.871,0.968,0.867,0.341,0.327,0.66425,16,1.79,Aggressive
226,HIG,The Hartford Financial Services Group Inc.,Financial,,0.148,0.69,0.059,0.109,0.224,0.48,0.25360,223,0.99,Moderate
227,HLT,Hilton Worldwide Holdings Inc.,Services,,0.89,0.821,0.087,0.109,0.944,0.547,0.22820,237,1.3,Moderate
228,HOG,Harley0Davidson Inc.,Consumer Goods,,0.188,0.142,0.563,0.815,0.926,0.123,0.30490,187,0.95,Moderate
229,HOLX,Hologic Inc.,Healthcare,,0.531,0.92,0.765,0.801,0.69,0.216,0.54970,60,0.94,Moderate
230,HON,Honeywell International Inc.,Industrial Goods,,0.537,0.077,0.746,0.73,0.519,0.916,0.51570,76,0.97,Moderate
231,HP,Helmerich & Payne Inc.,Basic Materials,,0,0.896,0.291,0.13,0,0.055,0.29545,196,1.25,Moderate
232,HPE,Hewlett Packard Enterprise Company,Technology,,0.125,0.644,0.059,0.063,0.388,0.507,0.22190,235,0,Conservative
233,HPQ,HP Inc.,Technology,,0.156,0.543,0.69,0.928,0,0.688,0.65070,18,1.85,Aggressive
234,HRB,H&R Block Inc.,Services,,0.138,0.603,0.93,0.974,0,0.039,0.60440,33,0.58,Conservative
235,HRL,Hormel Foods Corporation,Consumer Goods,,0.557,0.595,0.878,0.591,0,0.4,0.56625,54,0.58,Conservative
236,HRS,Harris Corporation,Technology,,0.623,0.136,0.462,0.571,0.757,0.41,0.29175,194,1.1,Moderate
237,HSIC,Henry Schein Inc.,Services,,0.575,0.194,0.694,0.605,0.337,0.299,0.38965,138,1.04,Moderate
238,HST,Host Hotels & Resorts Inc.,Financial,,0.88,0.676,0,0,0.382,0.341,0.16520,251,1.31,Moderate
239,HSY,The Hershey Company,Consumer Goods,,0.625,0.706,0.815,0.956,0.92,0.523,0.59655,37,0.36,Conservative
240,HUM,Humana Inc.,Healthcare,,0.652,0.724,0.563,0.547,0.325,0.706,0.53100,63,0.89,Moderate
241,IBM,International Business Machines Corporation,Technology,,0.097,0.309,0.777,0.942,0.89,0.928,0.58815,43,0.93,Moderate
242,ICE,Intercontinental Exchange Inc.,Financial,,0.585,0.107,0.234,0.333,0.267,0.722,0.28085,196,0.73,Conservative
243,IDXX,IDEXX Laboratories Inc.,Healthcare,,0.932,0.448,0.93,1,0,0.325,0.63710,21,0.46,Conservative
244,IFF,International Flavors & Fragrances Inc.,Basic Materials,,0.763,0.055,0.751,0.702,0.69,0.246,0.35445,151,1.2,Moderate
245,ILMN,Illumina Inc.,Healthcare,,0.938,0.005,0.928,0.797,0.285,0.646,0.53295,59,0.74,Conservative
246,INCY,Incyte Corporation,Healthcare,,0.998,0.964,0.761,0.666,0,0.513,0.65215,17,0.8,Moderate
247,INFO,IHS Markit Ltd.,Services,,0.569,0.686,0.315,0.152,0.359,0.424,0.30285,176,0.83,Moderate
248,INTC,Intel Corporation,Technology,,0.287,0.281,0.837,0.621,0.311,0.96,0.58160,44,1.06,Moderate
249,INTU,Intuit Inc.,Technology,,0.861,0.507,0.984,0.964,0.257,0.718,0.70630,6,1.17,Moderate
250,IP,International Paper Company,Consumer Goods,,0.224,0.095,0.246,0.563,0.884,0.543,0.24145,209,1.47,Moderate
251,IPG,The Interpublic Group of Companies Inc.,Services,,0.158,0.664,0.462,0.779,0.65,0.101,0.39825,125,1.47,Moderate
252,IR,Ingersoll0Rand Plc,Industrial Goods,,0.424,0.892,0.537,0.513,0.396,0.509,0.50310,72,1.39,Moderate
253,IRM,Iron Mountain Incorporated,Technology,,0.884,0.623,0.14,0.15,0.926,0.194,0.14330,241,1.05,Moderate
254,ISRG,Intuitive Surgical Inc.,Healthcare,,0.926,0.47,0.924,0.579,0,0.744,0.61855,26,0.46,Conservative
255,ITW,Illinois Tool Works Inc.,Industrial Goods,,0.694,0.313,0.876,0.896,0.809,0.801,0.58490,41,1.17,Moderate
256,IVZ,Invesco Ltd.,Financial,,0.184,0.287,0.355,0.394,0.5,0.351,0.26485,194,1.81,Aggressive
257,JBHT,J.B. Hunt Transport Services Inc.,Services,,0.779,0.085,0.831,0.807,0.438,0.234,0.42950,101,1.06,Moderate
258,JCI,Johnson Controls International plc,Consumer Goods,,0.248,0.94,0,0,0.462,0.712,0.28420,182,0.86,Moderate
259,JEC,Jacobs Engineering Group Inc.,Services,,0.448,0.563,0.341,0.158,0.14,0.087,0.24075,202,1.51,Aggressive
260,JNJ,Johnson & Johnson,Healthcare,,0.503,0.253,0.827,0.698,0.337,0.986,0.59535,33,0.81,Moderate
261,JNPR,Juniper Networks Inc.,Technology,,0.13,0.101,0.579,0.41,0,0.146,0.29665,174,1.07,Moderate
262,JPM,JPMorgan Chase & Co.,Financial,,0.226,0.126,0.166,0.424,0.724,0.984,0.29710,173,1.21,Moderate
263,JWN,Nordstrom Inc.,Services,,0.194,0.66,0.438,0.894,0.922,0.075,0.38780,124,0.86,Moderate
264,K,Kellogg Company,Consumer Goods,,0.301,0.406,0.492,0.873,0.952,0.496,0.42645,103,0.5,Conservative
265,KEY,KeyCorp,Financial,,0.164,0.537,0.087,0.182,0.595,0.478,0.21075,212,1.09,Moderate
266,KHC,The Kraft Heinz Company,Consumer Goods,,0.607,0.033,0.341,0.19,0.367,0.896,0.28185,177,0,Conservative
267,KIM,Kimco Realty Corporation,Financial,,0.888,0.809,0,0,0.664,0.117,0.11880,232,0.66,Conservative
268,KLAC,KLA0Tencor Corporation,Technology,,0.279,0.609,0.942,0.966,0.875,0.41,0.59330,34,1.68,Aggressive
269,KMB,Kimberly0Clark Corporation,Consumer Goods,,0.436,0.898,0.892,0,0.998,0.726,0.44800,92,0.77,Moderate
270,KMI,Kinder Morgan Inc.,Basic Materials,,0.815,0.91,0.192,0.119,0.674,0.728,0.33795,142,0.63,Conservative
271,KMX,CarMax Inc.,Services,,0.533,0.16,0.404,0.66,0.936,0.331,0.27060,180,1.52,Aggressive
272,KO,The Coca0Cola Company,Consumer Goods,,0.748,0.329,0.492,0.617,0.876,0.956,0.44665,92,0.71,Conservative
273,KORS,Michael Kors Holdings Limited,Consumer Goods,,0.19,0.535,0.976,0.817,0.146,0.091,0.55885,45,0.04,Conservative
274,KR,The Kroger Co.,Services,,0.109,0.029,0.404,0.712,0.878,0.46,0.28900,168,0.82,Moderate
275,KSS,Kohl's Corporation,Services,,0.121,0.369,0.478,0.442,0.585,0.095,0.26430,180,1.25,Moderate
276,KSU,Kansas City Southern,Services,,0.496,0.015,0.551,0.434,0.43,0.206,0.24745,184,0.86,Moderate
277,L,Loews Corporation,Financial,,0.376,0.93,0.192,0.182,0.396,0.416,0.32310,148,0.74,Conservative
278,LB,L Brands Inc.,Services,,0.279,0.259,0.859,0.978,0,0.301,0.57125,42,0.69,Conservative
279,LEG,Leggett & Platt Incorporated,Consumer Goods,,0.426,0.436,0.857,0.839,0.66,0.065,0.45820,86,1.05,Moderate
280,LEN,Lennar Corporation,Industrial Goods,,0.115,0.341,0.353,0.224,0.585,0.273,0.20855,200,1.3,Moderate
281,LH,Laboratory Corporation of America Holdings,Healthcare,,0.309,0.767,0.496,0.448,0.65,0.386,0.40160,108,0.88,Moderate
282,LKQ,LKQ Corporation,Consumer Goods,,0.5,0.15,0.537,0.454,0.5,0.238,0.27535,169,0.96,Moderate
283,LLL,L3 Technologies Inc.,Industrial Goods,,0.632,0.902,0.446,0.394,0,0.345,0.45940,84,1.17,Moderate
284,LLY,Eli Lilly and Company,Healthcare,,0.511,0.392,0.513,0.498,0.559,0.886,0.45245,86,0.34,Conservative
285,LM,Legg Mason Inc.,Financial,,0.152,1,0,0,0,0.021,0.20420,196,2.28,Aggressive
286,LMT,Lockheed Martin Corporation,Industrial Goods,,0.746,0.549,0.664,0.992,0,0.875,0.69880,8,0.57,Conservative
287,LNC,Lincoln National Corporation,Financial,,0.069,0.307,0.087,0.301,0.238,0.408,0.21620,188,2.03,Aggressive
288,LNT,Alliant Energy Corporation,Utilities,,0.638,0.103,0.315,0.301,0.708,0.172,0.13820,209,0.45,Conservative
289,LOW,Lowe's Companies Inc.,Services,,0.331,0.573,0.708,0.912,0.906,0.839,0.59680,31,1.13,Moderate
290,LRCX,Lam Research Corporation,Technology,,0.251,0.829,0.93,0.791,0.251,0.66,0.70295,6,1.64,Aggressive
291,LUK,Leucadia National Corporation,Financial,,0.434,0.742,0.184,0.178,0.855,0.14,0.18140,198,1.3,Moderate
292,LUV,Southwest Airlines Co.,Services,,0.154,0.214,0.732,0.73,0.269,0.654,0.51220,59,1.33,Moderate
293,LVLT,Level 3 Communications Inc.,Technology,,0.882,0.839,0.281,0.174,0.615,0.47,0.31405,142,1.15,Moderate
294,LYB,LyondellBasell Industries N.V.,Basic Materials,,0.113,0.172,0.908,0.932,0.742,0.742,0.56860,39,1.07,Moderate
295,M,Macy's Inc.,Services,,0.025,0.704,0.355,0.529,0.775,0.057,0.29570,154,0.91,Moderate
296,MA,Mastercard Incorporated,Financial,,0.869,0.251,0.988,0.96,0.585,0.934,0.66550,12,1.21,Moderate
297,MAC,The Macerich Company,Financial,,0.962,0.458,0.192,0.119,0.734,0.105,0.11695,203,0.81,Moderate
298,MAR,Marriott International Inc.,Services,,0.821,0.412,0.426,0.63,0.811,0.759,0.41710,91,1.34,Moderate
299,MAS,Masco Corporation,Industrial Goods,,0.462,0.684,0.791,0.996,0,0.263,0.63615,16,1.55,Aggressive
300,MAT,Mattel Inc.,Consumer Goods,,0.365,0.452,0.765,0.785,0.847,0.035,0.40020,99,0.89,Moderate
301,MCD,McDonald's Corporation,Services,,0.775,0.38,0.898,0.994,0,0.924,0.73380,4,0.66,Conservative
302,MCHP,Microchip Technology Incorporated,Technology,,0.408,0.728,0.551,0.498,0.565,0.49,0.44935,78,1.02,Moderate
303,MCK,McKesson Corporation,Services,,0.091,0.906,0.712,0.914,0.454,0.642,0.67070,10,1.22,Moderate
304,MCO,Moody's Corporation,Services,,0.738,0.807,0.722,0.928,0,0.623,0.69850,6,1.36,Moderate
305,MDLZ,Mondelez International Inc.,Consumer Goods,,0.478,0.831,0.305,0.204,0.468,0.831,0.41285,89,1,Moderate
306,MDT,Medtronic plc,Healthcare,,0.337,0.446,0.404,0.251,0.438,0.912,0.39155,97,1,Moderate
307,MET,MetLife Inc.,Financial,,0.13,0.861,0,0.057,0.238,0.809,0.32445,127,1.51,Aggressive
308,MGM,MGM Resorts International,Services,,0.617,0.974,0.365,0.507,0.853,0.432,0.41390,88,1.44,Moderate
309,MHK,Mohawk Industries Inc.,Consumer Goods,,0.466,0.714,0.732,0.523,0.311,0.448,0.51505,51,1.34,Moderate
310,MKC,McCormick & Company Incorporated,Consumer Goods,,0.646,0.474,0.664,0.712,0.867,0.271,0.40630,90,0.51,Conservative
311,MLM,Martin Marietta Materials Inc.,Industrial Goods,,0.692,0.748,0.551,0.357,0.299,0.311,0.40890,89,1.12,Moderate
312,MMC,Marsh & McLennan Companies Inc.,Financial,,0.595,0.357,0.777,0.763,0.527,0.738,0.55130,35,1,Moderate
313,MMM,3M Company,Industrial Goods,,0.777,0.218,0.904,0.892,0.623,0.926,0.61550,19,1.07,Moderate
314,MNST,Monster Beverage Corporation,Consumer Goods,,0.906,0.529,0.938,0.656,0,0.65,0.63430,14,0.9,Moderate
315,MO,Altria Group Inc.,Consumer Goods,,0.505,0.934,1,0.982,0,0.92,0.86630,1,0.64,Conservative
316,MON,Monsanto Company,Basic Materials,,0.565,0.815,0.746,0.851,0.787,0.795,0.64255,9,1.04,Moderate
317,MOS,The Mosaic Company,Basic Materials,,0.728,0.813,0.126,0.087,0.281,0.119,0.21155,166,1.25,Moderate
318,MPC,Marathon Petroleum Corporation,Basic Materials,,0.333,0.761,0.291,0.283,0.636,0.648,0.36170,99,1.58,Aggressive
319,MRK,Merck & Co. Inc.,Healthcare,,0.242,0.317,0.503,0.424,0.412,0.942,0.44235,71,0.83,Moderate
320,MRO,Marathon Oil Corporation,Basic Materials,,0,0.482,0.99,0.884,0.394,0.305,0.58650,25,2.38,Aggressive
321,MS,Morgan Stanley,Financial,,0.172,0.013,0.113,0.283,0.962,0.878,0.18100,170,1.66,Aggressive
322,MSFT,Microsoft Corporation,Technology,,0.726,0.589,0.765,0.781,0.609,0.994,0.64220,9,0.99,Moderate
323,MSI,Motorola Solutions Inc.,Technology,,0.404,0.059,0.674,0.948,0,0.369,0.49110,52,0.32,Conservative
324,MTB,M&T Bank Corporation,Financial,,0.428,0.228,0,0,0.388,0.587,0.12420,176,0.84,Moderate
325,MTD,Mettler0Toledo International Inc.,Healthcare,,0.896,0.343,0.964,0.972,0.863,0.396,0.54550,29,1.11,Moderate
326,MU,Micron Technology Inc.,Technology,,0.017,0.734,0.92,0.827,0.396,0.775,0.69895,4,1.75,Aggressive
327,MYL,Mylan N.V.,Healthcare,,0.023,0.698,0.23,0.16,0.708,0.454,0.25710,140,1.38,Moderate
328,NAVI,Navient Corporation,Financial,,0.037,0.505,0.075,0.529,1,0.017,0.15540,169,2.39,Aggressive
329,NBL,Noble Energy Inc.,Basic Materials,,1,0.773,0.722,0.611,0.48,0.305,0.50085,48,1.18,Moderate
330,NDAQ,Nasdaq Inc.,Financial,,0.39,0.825,0.14,0.101,0.422,0.257,0.23445,148,0.78,Moderate
331,NEE,NextEra Energy Inc.,Utilities,,0.666,0.111,0.426,0.535,0.742,0.847,0.35765,96,0.31,Conservative
332,NEM,Newmont Mining Corporation,Basic Materials,,0.853,0.5,0.073,0.075,0.257,0.452,0.20170,156,0.12,Conservative
333,NFLX,Netflix Inc.,Services,,0.98,0.722,0.315,0.482,0.779,0.869,0.43955,65,1.4,Moderate
334,NFX,Newfield Exploration Company,Basic Materials,,0.208,0.799,0.623,0.785,0.851,0.059,0.43850,66,1.47,Moderate
335,NI,NiSource Inc.,Utilities,,0.686,0.833,0.192,0.212,0.849,0.13,0.20870,153,0.32,Conservative
336,NKE,NIKE Inc.,Consumer Goods,,0.656,0.416,0.936,0.819,0.234,0.886,0.67575,5,0.6,Conservative
337,NLSN,Nielsen Holdings plc,Technology,,0.216,0.321,0.331,0.404,0.843,0.315,0.22665,145,0.97,Moderate
338,NOC,Northrop Grumman Corporation,Industrial Goods,,0.72,0.438,0.74,0.876,0.615,0.793,0.58870,21,0.71,Conservative
339,NOV,National Oilwell Varco Inc.,Basic Materials,,0.972,0.948,0.821,0.553,0.186,0.291,0.57270,23,1,Moderate
340,NRG,NRG Energy Inc.,Utilities,,0.371,0.859,0.446,0.95,0.996,0.126,0.44640,61,1.28,Moderate
341,NSC,Norfolk Southern Corporation,Services,,0.529,0.297,0.462,0.458,0.505,0.708,0.38050,81,1.36,Moderate
342,NTAP,NetApp Inc.,Technology,,0.212,0.904,0.573,0.644,0.553,0.255,0.48075,51,1.15,Moderate
343,NTRS,Northern Trust Corporation,Financial,,0.472,0.228,0.113,0.371,0.988,0.505,0.16880,152,0.96,Moderate
344,NUE,Nucor Corporation,Basic Materials,,0.216,0.998,0.623,0.454,0.359,0.442,0.52135,37,1.62,Aggressive
345,NVDA,NVIDIA Corporation,Technology,,0.948,0.908,0.994,0.871,0.251,0.918,0.80635,2,1.18,Moderate
346,NWL,Newell Brands Inc.,Consumer Goods,,0.063,0.611,0.373,0.333,0.595,0.367,0.31260,103,1.2,Moderate
347,NWS,News Corporation,Services,,0,0.007,0,0,0,0,0.00140,159,0,Conservative
348,NWSA,News Corporation,Services,,0.815,0.988,0.478,0.194,0.132,0.121,0.37660,79,2,Aggressive
349,O,Realty Income Corporation,Financial,,0.936,0.186,0.253,0.142,0.511,0.357,0.15625,148,0.3,Conservative
350,OI,Owens0Illinois Inc.,Consumer Goods,,0.045,0.738,0.269,0.886,0.972,0.027,0.34455,90,1.53,Aggressive
351,OKE,ONEOK Inc.,Utilities,,0.807,0.696,0.24,0.688,0.817,0.464,0.38230,76,1.34,Moderate
352,OMC,Omnicom Group Inc.,Services,,0.16,0.244,0.503,0.92,0.841,0.384,0.39725,71,1.24,Moderate
353,ORCL,Oracle Corporation,Technology,,0.361,0.19,0.664,0.579,0.601,0.966,0.48185,48,1.06,Moderate
354,ORLY,O'Reilly Automotive Inc.,Services,,0.386,0.402,0.886,0.954,0.912,0.45,0.53920,25,0.8,Moderate
355,OXY,Occidental Petroleum Corporation,Basic Materials,,0.94,0.873,0.067,0.067,0.325,0.789,0.33340,88,0.66,Conservative
356,PAYX,Paychex Inc.,Services,,0.801,0.267,0.849,0.886,0.128,0.531,0.58055,21,0.97,Moderate
357,PBCT,People's United Financial Inc.,Financial,,0.396,0.234,0.099,0.16,0.164,0.069,0.10895,145,0.83,Moderate
358,PCAR,PACCAR Inc,Consumer Goods,,0.345,0.793,0.605,0.613,0.7,0.573,0.50770,36,1.24,Moderate
359,PCG,PG&E Corporation,Utilities,,0.317,0.757,0.323,0.371,0.634,0.626,0.38670,69,0.22,Conservative
360,PCLN,The Priceline Group Inc.,Services,,0.698,0.335,0.809,0.68,0.468,0.898,0.57205,21,1.43,Moderate
361,PDCO,Patterson Companies Inc.,Services,,0.297,0.148,0.438,0.388,0.545,0.023,0.18620,135,0.98,Moderate
362,PEG,Public Service Enterprise Group Incorporated,Utilities,,0.44,0.716,0.166,0.115,0.623,0.583,0.26775,112,0.42,Conservative
363,PEP,Pepsico Inc.,Consumer Goods,,0.591,0.49,0.746,0.926,0.906,0.936,0.61260,12,0.69,Conservative
364,PFE,Pfizer Inc.,Healthcare,,0.204,0.196,0.462,0.466,0.48,0.968,0.41680,58,0.99,Moderate
365,PFG,Principal Financial Group Inc.,Financial,,0.162,0.325,0.087,0.4,0.21,0.464,0.25855,112,1.73,Aggressive
366,PG,The Procter & Gamble Company,Consumer Goods,,0.581,0.198,0.863,0.771,0.422,0.97,0.59990,15,0.67,Conservative
367,PGR,The Progressive Corporation,Financial,,0.501,0.456,0.365,0.472,0.269,0.632,0.39995,61,0.91,Moderate
368,PH,Parker0Hannifin Corporation,Industrial Goods,,0.509,0.523,0.636,0.626,0.686,0.559,0.46330,46,1.39,Moderate
369,PHM,PulteGroup Inc.,Industrial Goods,,0.107,0.569,0.438,0.321,0.511,0.128,0.27805,102,1.17,Moderate
370,PKG,Packaging Corporation of America,Consumer Goods,,0.446,0.192,0.682,0.738,0.757,0.212,0.36010,69,1.85,Aggressive
371,PKI,PerkinElmer Inc.,Healthcare,,0.686,0.424,0.702,0.535,0.311,0.103,0.38355,63,0.77,Moderate
372,PLD,Prologis Inc.,Financial,,0.934,0.672,0.458,0.301,0.48,0.676,0.41135,57,0.95,Moderate
373,PM,Philip Morris International Inc.,Consumer Goods,,0.567,0.105,0.95,0.938,0,0.94,0.68100,3,0.96,Moderate
374,PNC,The PNC Financial Services Group Inc.,Financial,,0.313,0.047,0.14,0.251,0.527,0.841,0.22265,114,0.9,Moderate
375,PNR,Pentair plc,Industrial Goods,,0.486,0.339,0.551,0.434,0.224,0.283,0.34825,71,1.39,Moderate
376,PNW,Pinnacle West Capital Corporation,Utilities,,0.605,0.043,0.331,0.343,0.636,0.168,0.14710,124,0.37,Conservative
377,PPG,PPG Industries Inc.,Basic Materials,,0.47,0.755,0.805,0.827,0.519,0.638,0.63470,6,1.59,Aggressive
378,PPL,PPL Corporation,Utilities,,0.363,0.488,0.404,0.527,0.839,0.575,0.36145,64,0.53,Conservative
379,PRGO,Perrigo Company plc,Healthcare,,0.382,0.236,0.978,0.898,0.396,0.244,0.52540,26,0.7,Conservative
380,PRU,Prudential Financial Inc.,Financial,,0.071,0.503,0.075,0.244,0.311,0.771,0.30345,84,1.56,Aggressive
381,PSA,Public Storage,Financial,,0.851,0.382,0.855,0.722,0.168,0.688,0.59145,14,0.46,Conservative
382,PSX,Phillips 66,Basic Materials,,0.359,0.783,0.355,0.232,0.311,0.773,0.42685,49,1.2,Moderate
383,PVH,PVH Corp.,Consumer Goods,,0.299,0.009,0.38,0.265,0.412,0.17,0.15585,117,0.58,Conservative
384,PWR,Quanta Services Inc.,Industrial Goods,,0.295,0.886,0.462,0.248,0.16,0.051,0.34890,65,0.87,Moderate
385,PX,Praxair Inc.,Basic Materials,,0.751,0.075,0.698,0.773,0.781,0.74,0.45265,45,1,Moderate
386,PXD,Pioneer Natural Resources Company,Basic Materials,,0.958,0.857,0.14,0.089,0.202,0.585,0.32545,70,0.96,Moderate
387,PYPL,PayPal Holdings Inc.,Financial,,0.892,0.361,0.426,0.343,0,0.873,0.43905,45,0,Conservative
388,Q,Quintiles IMS Holdings Inc.,Healthcare,,0.628,0.819,0.075,0.083,0.714,0.535,0.23890,99,0.63,Conservative
389,QCOM,QUALCOMM Incorporated,Technology,,0.507,0.496,0.617,0.418,0.454,0.882,0.48895,35,1.28,Moderate
390,QRVO,Qorvo Inc.,Technology,,0.119,0.632,0.087,0.075,0.172,0.152,0.18010,110,1.01,Moderate
391,RCL,Royal Caribbean Cruises Ltd.,Services,,0.285,0.878,0.617,0.541,0.511,0.593,0.53260,20,1.08,Moderate
392,RE,Everest Re Group Ltd.,Financial,,0.128,0.212,0.509,0.478,0.14,0.148,0.30475,75,0.66,Conservative
393,REG,Regency Centers Corporation,Financial,,0.93,0.168,0.14,0.091,0.367,0.202,0.09505,112,0.56,Conservative
394,REGN,Regeneron Pharmaceuticals Inc.,Healthcare,,0.805,0.654,0.912,0.708,0.156,0.755,0.67120,3,1.58,Aggressive
395,RF,Regions Financial Corporation,Financial,,0.259,0.398,0.126,0.212,0.18,0.446,0.23530,95,1.3,Moderate
396,RHI,Robert Half International Inc.,Services,,0.517,0.019,0.956,0.805,0,0.077,0.45945,40,1.28,Moderate
397,RHT,Red Hat Inc.,Technology,,0.916,0.571,0.611,0.7,0.373,0.492,0.50305,29,1.18,Moderate
398,RL,Ralph Lauren Corporation,Consumer Goods,,0.414,0.9,0.067,0.067,0.202,0.093,0.21190,99,0.64,Conservative
399,RMD,ResMed Inc.,Healthcare,,0.785,0.093,0.777,0.571,0.378,0.24,0.36580,53,0.77,Moderate
400,ROK,Rockwell Automation Inc.,Industrial Goods,,0.847,0.232,0.821,0.863,0.545,0.581,0.52910,20,1.21,Moderate
401,ROP,Roper Technologies Inc.,Industrial Goods,,0.819,0.138,0.496,0.38,0.585,0.603,0.30870,67,1.05,Moderate
402,ROST,Ross Stores Inc.,Services,,0.521,0.331,0.98,0.88,0.16,0.563,0.62780,6,1.12,Moderate
403,RRC,Range Resources Corporation,Basic Materials,,0.839,0.638,0.253,0.148,0.462,0.033,0.18825,97,0.94,Moderate
404,RSG,Republic Services Inc.,Industrial Goods,,0.781,0.44,0.341,0.271,0.644,0.5,0.27660,77,0.64,Conservative
405,RTN,Raytheon Company,Industrial Goods,,0.714,0.293,0.636,0.63,0,0.799,0.53490,17,0.58,Conservative
406,SBAC,SBA Communications Corporation,Technology,,0.982,0.914,0.075,0.093,0,0.44,0.31280,63,0.74,Conservative
407,SBUX,Starbucks Corporation,Services,,0.767,0.115,0.97,0.91,0.438,0.865,0.62220,7,0.71,Conservative
408,SCG,SCANA Corporation,Utilities,,0.136,0.539,0.341,0.327,0.748,0.061,0.21220,90,0.27,Conservative
409,SCHW,The Charles Schwab Corporation,Financial,,0.734,0.559,0.126,0.448,0.986,0.819,0.32050,60,1.73,Aggressive
410,SEE,Sealed Air Corporation,Consumer Goods,,0.48,0.73,0.478,0.952,0.99,0.125,0.42950,36,1.21,Moderate
411,SHW,The Sherwin0Williams Company,Basic Materials,,0.706,0.182,0.678,0.9,0.94,0.704,0.47770,30,1.21,Moderate
412,SIG,Signet Jewelers Limited,Services,,0.055,0.462,0.63,0.607,0.49,0.029,0.35845,47,1.04,Moderate
413,SJM,The J. M. Smucker Company,Consumer Goods,,0.192,0.351,0.365,0.232,0.48,0.234,0.21825,83,0.62,Conservative
414,SLB,Schlumberger Limited,Basic Materials,,0.871,0.936,0.099,0.083,0.299,0.871,0.37700,45,1.05,Moderate
415,SLG,SL Green Realty Corp.,Financial,,0.996,0.285,0.184,0.113,0.615,0.15,0.09975,89,1.2,Moderate
416,SNA,Snap0on Incorporated,Industrial Goods,,0.289,0.373,0.964,0.841,0.285,0.136,0.52455,19,1.12,Moderate
417,SNI,Scripps Networks Interactive Inc.,Services,,0.293,0.303,0.777,0.785,0,0.186,0.48830,27,1.49,Moderate
418,SNPS,Synopsys Inc.,Technology,,0.783,0.478,0.563,0.313,0.156,0.293,0.35760,45,0.99,Moderate
419,SO,The Southern Company,Utilities,,0.458,0.113,0.087,0.101,0.869,0.791,0.14090,84,0.17,Conservative
420,SPG,Simon Property Group Inc.,Financial,,0.71,0.079,0.513,0.878,0.966,0.783,0.42355,34,0.62,Conservative
421,SPGI,S&P Global Inc.,Services,,0.708,0.865,0.97,0.99,0,0.734,0.80980,1,1.53,Aggressive
422,SRCL,Stericycle Inc.,Industrial Goods,,0.269,0.581,0.067,0.073,0.65,0.053,0.09680,83,0.19,Conservative
423,SRE,Sempra Energy,Utilities,,0.676,0.063,0.373,0.434,0.755,0.64,0.26685,67,0.63,Conservative
424,STI,SunTrust Banks Inc.,Financial,,0.246,0.031,0.126,0.248,0.325,0.63,0.19320,79,1.3,Moderate
425,STT,State Street Corporation,Financial,,0.226,0.311,0.126,0.369,0.579,0.682,0.26445,67,1.38,Moderate
426,STX,Seagate Technology plc,Technology,,0.049,0.946,0.694,0.902,0,0.198,0.62780,5,1.68,Aggressive
427,STZ,Constellation Brands Inc.,Consumer Goods,,0.753,0.7,0.755,0.716,0.69,0.736,0.58595,10,0.09,Conservative
428,SWK,Stanley Black & Decker Inc.,Industrial Goods,,0.593,0.279,0.589,0.559,0.373,0.567,0.41890,31,1.03,Moderate
429,SWKS,Skyworks Solutions Inc.,Technology,,0.355,0.555,0.992,0.746,0,0.482,0.64190,3,0.88,Moderate
430,SWN,Southwestern Energy Company,Basic Materials,,0.031,0.708,0.42,0.696,0.902,0.015,0.33340,43,1.2,Moderate
431,SYF,Synchrony Financial,Financial,,0.077,0.061,0.246,0.49,0.757,0.597,0.23990,67,0,Conservative
432,SYK,Stryker Corporation,Healthcare,,0.7,0.388,0.698,0.559,0.468,0.803,0.50565,18,0.79,Moderate
433,SYMC,Symantec Corporation,Technology,,0.311,0.797,0.242,0.327,0.827,0.438,0.30655,48,1.17,Moderate
434,SYY,Sysco Corporation,Services,,0.553,0.565,0.579,0.89,0.918,0.636,0.51565,16,0.52,Conservative
435,T,AT&T Inc.,Technology,,0.126,0.406,0.331,0.327,0.702,0.964,0.36830,35,0.43,Conservative
436,TAP,Molson Coors Brewing Company,Consumer Goods,,0.418,0.982,0.678,0.599,0.628,0.43,0.53885,11,0.84,Moderate
437,TDG,TransDigm Group Incorporated,Industrial Goods,,0.662,0.605,0.496,0.831,0,0.375,0.52775,12,0.48,Conservative
438,TEL,TE Connectivity Ltd.,Technology,,0.527,0.823,0.755,0.599,0.309,0.652,0.60260,6,1.05,Moderate
